"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"55103","FRB 20190213B","18:24:07.200","+81:35:24.00","FRB","20190212A","302.47","1.62","pc/cc","52.67","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","30465284","","","1","1","2020-03-27","","","2019-02-13 17:09:32.741","CHIME_FRB_bot","",""
"55102","FRB 20190213A","02:13:57.600","+20:04:48.00","FRB","20190213A","650.23","3.23","pc/cc","43.89","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","30351693","","","1","1","2020-03-27","","","2019-02-13 00:42:26.688","CHIME_FRB_bot","",""
"55101","FRB 20190212A","17:39:28.800","+81:37:48.00","FRB","20190212A","300.85","3.23","pc/cc","50.34","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","30292842","","","1","1","2020-03-27","","","2019-02-12 16:17:23.513","CHIME_FRB_bot","",""
"55100","FRB 20190210A","09:37:07.200","+77:40:12.00","FRB","20190209A","420.55","6.47","pc/cc","45.69","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","30112019","","","1","1","2020-03-27","","","2019-02-10 08:17:13.963","CHIME_FRB_bot","",""
"55099","FRB 20190209A","09:36:16.800","+77:40:12.00","FRB","20190209A","423.78","3.23","pc/cc","45.73","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","30015540","","","1","1","2020-03-27","","","2019-02-09 08:20:20.977","CHIME_FRB_bot","",""
"55098","FRB 20190208A","18:54:38.400","+46:58:12.00","FRB","20190208A","579.06","3.23","pc/cc","71.8","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","29889091","","","1","1","2020-03-27","","","2019-02-08 17:41:50.656","CHIME_FRB_bot","",""
"55097","FRB 20190126A","01:45:04.800","+65:43:48.00","FRB","20180916B","351","1.62","pc/cc","199.73","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28293423","","","1","1","2020-03-27","","","2019-01-26 01:32:45.331","CHIME_FRB_bot","",""
"55096","FRB 20190117A","22:07:19.200","+17:22:48.00","FRB","20190117A","393.05","1.62","pc/cc","48.22","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","27052203","","","1","1","2020-03-27","","","2019-01-17 22:18:32.121","CHIME_FRB_bot","",""
"55095","FRB 20190116B","12:49:50.400","+27:09:36.00","FRB","20190116A","441.58","1.62","pc/cc","19.89","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","26804247","","","1","1","2020-03-27","","","2019-01-16 13:08:20.412","CHIME_FRB_bot","",""
"55094","FRB 20190116A","12:49:04.800","+27:09:36.00","FRB","20190116A","446.43","6.47","pc/cc","19.89","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","26804245","","","1","1","2020-03-27","","","2019-01-16 13:07:33.840","CHIME_FRB_bot","",""
"55093","FRB 20190103A","12:31:50.400","+65:07:12.00","FRB","20181119A","365.55","3.23","pc/cc","34.19","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","24648496","","","1","1","2020-03-27","","","2019-01-03 13:47:23.324","CHIME_FRB_bot","",""
"64982","FRB 20190102C","21:29:39.760","-79:28:32.50","FRB","","363.6","0.3","pc/cc","57.3","NE2001","","","","0.291","FRBCAT","FRBCAT","","FRBCAT","FRB190102","","","1","1","","0","Clear-","2019-01-02 05:38:43.491","FRBCAT_bot","",""
"64981","FRB 20181228D","06:09:23.640","-45:58:02.40","FRB","","354.2","0.9","pc/cc","58","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB181228","","","1","1","","19.23","Other-","2018-12-28 13:48:50.100","FRBCAT_bot","",""
"55092","FRB 20181226A","01:58:02.400","+65:44:24.00","FRB","20180916B","347.76","1.62","pc/cc","198.47","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","23891929","","","1","1","2020-03-27","","","2018-12-26 03:43:30.129","CHIME_FRB_bot","",""
"55091","FRB 20181225A","01:59:33.600","+65:43:48.00","FRB","20180916B","346.14","3.23","pc/cc","197.95","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","23789294","","","1","1","2020-03-27","","","2018-12-25 03:53:03.926","CHIME_FRB_bot","",""
"55090","FRB 20181223A","01:58:07.200","+65:44:24.00","FRB","20180916B","352.61","3.23","pc/cc","198.41","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","23588210","","","1","1","2020-03-27","","","2018-12-23 03:51:28.927","CHIME_FRB_bot","",""
"55089","FRB 20181222A","01:58:12.000","+65:44:24.00","FRB","20180916B","349.38","12.94","pc/cc","198.41","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","23491552","","","1","1","2020-03-27","","","2018-12-22 03:59:23.209","CHIME_FRB_bot","",""
"55088","FRB 20181219A","04:55:45.600","+63:23:24.00","FRB","20181128A","449.66","3.23","pc/cc","111.66","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","23110229","","","1","1","2020-03-27","","","2018-12-19 07:04:41.690","CHIME_FRB_bot","",""
"76918","FRB 20181130B","00:39:07.850","+19:24:31.70","FRB","","1705.5","6.5","pc/cc","38.16","NE2001","","","","","","","","","FRB181130","","","1","1","","20.6","Other-","2018-11-30 00:00:00.000","niu","",""
"55595","FRB 20181128A","04:56:12.000","+63:23:24.00","FRB","20181128A","446.43","6.47","pc/cc","111.33","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","21538821","","","1","1","2020-03-30","","","2018-11-28 08:27:41.736","CHIME_FRB_bot","",""
"64980","FRB 20181123B","05:06:06.760","+18:09:35.70","FRB","","1812","2","pc/cc","149.5","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB181123","","","1","1","","0.065","Other-","2018-11-23 17:49:09.127","FRBCAT_bot","",""
"55587","FRB 20181120C","04:21:55.200","+73:39:00.00","FRB","20180814A","190.86","3.23","pc/cc","87.93","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","20899716","","","1","1","2020-03-31","","","2018-11-20 08:25:28.208","CHIME_FRB_bot","",""
"55586","FRB 20181120B","01:57:07.200","+65:44:24.00","FRB","20180916B","351","1.62","pc/cc","198.83","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","20887865","","","1","1","2020-03-27","","","2018-11-20 05:56:06.202","CHIME_FRB_bot","",""
"55087","FRB 20181120A","01:45:00.000","+65:43:48.00","FRB","","351","1.62","pc/cc","199.66","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","20887861","","","1","1","2020-03-27","","","2018-11-20 05:56:06.202","CHIME_FRB_bot","",""
"55086","FRB 20181119A","12:40:38.400","+65:07:48.00","FRB","20181119A","368.79","6.47","pc/cc","34.02","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","20854062","","","1","1","2020-03-27","","","2018-11-19 16:49:03.194","CHIME_FRB_bot","",""
"76916","FRB 20181118D","07:56:41.870","+16:08:56.70","FRB","","1187.7","3.3","pc/cc","71.53","NE2001","","","","","","","","","FRB181118","","","1","1","","14.2","Other-","2018-11-18 00:00:00.000","niu","",""
"56374","FRB 20181118C","04:21:45.600","+73:37:48.00","FRB","20180814A","187.63","6.47","pc/cc","88.02","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","20746490","","","1","1","2020-03-27","","","2018-11-18 08:44:49.691","CHIME_FRB_bot","",""
"64979","FRB 20181112A","21:49:23.630","-52:58:15.39","FRB","","589.27","0.03","pc/cc","102","Other","","","","0.4755","FRBCAT","FRBCAT","","FRBCAT","FRB181112","","","1","1","","0","Clear-","2018-11-12 17:31:15.483","FRBCAT_bot","",""
"55085","FRB 20181104B","01:57:07.200","+65:44:24.00","FRB","20180916B","342.91","6.47","pc/cc","198.83","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","20425669","","","1","1","2020-03-27","","","2018-11-04 07:07:01.595","CHIME_FRB_bot","",""
"55084","FRB 20181104A","01:43:19.200","+65:43:48.00","FRB","20180916B","347.76","1.62","pc/cc","199.8","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","20425523","","","1","1","2020-03-27","","","2018-11-04 06:57:18.581","CHIME_FRB_bot","",""
"55083","FRB 20181030B","10:55:57.600","+73:44:24.00","FRB","20181030A","101.9","1.62","pc/cc","40.47","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","19996675","","","1","1","2020-03-27","","","2018-10-30 04:16:21.644","CHIME_FRB_bot","",""
"55082","FRB 20181030A","10:52:48.000","+73:44:24.00","FRB","20181030A","101.9","1.62","pc/cc","40.61","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","19996599","","","1","1","2020-03-27","","","2018-10-30 04:13:13.026","CHIME_FRB_bot","",""
"55081","FRB 20181028A","04:44:36.000","+73:39:36.00","FRB","20180814A","181.15","25.88","pc/cc","82.69","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","19815274","","","1","1","2020-03-27","","","2018-10-28 10:12:34.524","CHIME_FRB_bot","",""
"55080","FRB 20181019A","02:08:36.000","+65:44:24.00","FRB","20180916B","346.14","3.23","pc/cc","193.22","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","18685272","","","1","1","2020-03-27","","","2018-10-19 08:13:22.751","CHIME_FRB_bot","",""
"76914","FRB 20181017D","00:36:29.800","+11:19:59.80","FRB","","1845.2","1","pc/cc","34.62","NE2001","","","","","","","","","FRB181017","","","1","1","","34.1","Other-","2018-10-17 00:00:00.000","niu","",""
"64978","FRB 20181017C","22:05:54.820","-08:50:34.22","FRB","","239.97","0.03","pc/cc","38","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB181017","","","1","1","","36.5","Other-","2018-10-17 10:24:37.400","FRBCAT_bot","",""
"55079","FRB 20181017A","17:04:31.200","+68:17:24.00","FRB","20181017A","1268.08","25.88","pc/cc","42.93","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","18572783","","","1","1","2020-03-27","","","2018-10-17 23:26:11.860","CHIME_FRB_bot","",""
"64977","FRB 20181016A","15:46:20.840","-25:24:32.60","FRB","","1982.8","2.8","pc/cc","90","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB181016","","","1","1","","10.19","Other-","2018-10-16 04:16:56.300","FRBCAT_bot","",""
"64976","FRB 20180924B","21:44:25.255","-40:54:00.10","FRB","","361.42","0.06","pc/cc","40.5","NE2001","","","","0.3214","FRBCAT","FRBCAT","","FRBCAT","FRB180924","","","1","1","","12.3","Clear-","2018-09-24 16:23:12.626","FRBCAT_bot","",""
"64975","FRB 20180923B","15:10:55.400","-14:06:10.20","FRB","","548","3","pc/cc","46.6","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180923","","","1","1","","0","BPSR-MB20","2018-09-23 04:03:38.060","FRBCAT_bot","",""
"55078","FRB 20180919A","04:23:14.400","+73:39:00.00","FRB","20180814A","190.86","3.23","pc/cc","87.7","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","16180649","","","1","1","2020-03-27","","","2018-09-19 12:36:11.856","CHIME_FRB_bot","",""
"55077","FRB 20180917A","04:23:36.000","+73:36:00.00","FRB","20180814A","194.1","12.94","pc/cc","87.78","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","15707968","","","1","1","2020-03-27","","","2018-09-17 00:46:38.163","CHIME_FRB_bot","",""
"55523","FRB 20180916B","01:56:40.800","+65:44:24.00","FRB","20180916B","347.76","1.62","pc/cc","198.97","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","15372046","","","1","1","2020-03-27","","","2018-09-16 10:15:19.829","CHIME_FRB_bot","",""
"56373","FRB 20180911C","04:20:31.200","+73:39:00.00","FRB","20180814A","190.86","3.23","pc/cc","88.19","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","13401643","","","1","1","2020-03-27","","","2018-09-11 12:59:16.478","CHIME_FRB_bot","",""
"55076","FRB 20180908A","12:13:14.400","+74:12:36.00","FRB","20180908A","195.72","1.62","pc/cc","38.84","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","12806027","","","1","1","2020-03-27","","","2018-09-08 21:13:04.110","CHIME_FRB_bot","",""
"56457","FRB 20180817A","15:32:04.800","+42:12:00.00","FRB","","1002.85","6.47","pc/cc","27.59","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","11121416","","","1","1","2020-03-27","","","2018-08-17 01:49:34.000","CHIME_FRB_bot","",""
"56456","FRB 20180814B","15:43:36.000","+74:37:48.00","FRB","","237.77","1.62","pc/cc","41.2","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","10886879","","","1","1","2020-03-27","","","2018-08-14 14:20:17.000","CHIME_FRB_bot","",""
"56372","FRB 20180814A","04:21:28.800","+73:44:24.00","FRB","20180814A","190.86","3.23","pc/cc","87.75","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","10889573","","","1","1","2020-03-27","","","2018-08-14 14:49:50.000","CHIME_FRB_bot","",""
"56455","FRB 20180812A","01:14:26.400","+80:22:48.00","FRB","","795.81","6.47","pc/cc","83.32","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","10648497","","","1","1","2020-03-27","","","2018-08-12 11:45:44.000","CHIME_FRB_bot","",""
"56454","FRB 20180810B","12:01:28.800","+83:06:36.00","FRB","","169.84","1.62","pc/cc","46.73","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","10366092","","","1","1","2020-03-27","","","2018-08-10 22:40:44.000","CHIME_FRB_bot","",""
"56453","FRB 20180810A","06:46:02.400","+34:51:36.00","FRB","","415.7","1.62","pc/cc","104.4","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","10353713","","","1","1","2020-03-27","","","2018-08-10 17:29:00.000","CHIME_FRB_bot","",""
"56452","FRB 20180806A","15:03:45.600","+76:12:36.00","FRB","","739.2","1.62","pc/cc","40.91","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","9976641","","","1","1","2020-03-27","","","2018-08-06 14:13:13.000","CHIME_FRB_bot","",""
"56451","FRB 20180801A","21:29:02.400","+72:43:12.00","FRB","","656.7","3.23","pc/cc","89.94","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","9641579","","","1","1","2020-03-27","","","2018-08-01 08:47:24.000","CHIME_FRB_bot","",""
"56450","FRB 20180729B","05:59:12.000","+56:09:00.00","FRB","","318.65","1.62","pc/cc","94.95","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","9564770","","","1","1","2020-03-27","","","2018-07-29 17:28:22.000","CHIME_FRB_bot","",""
"56449","FRB 20180729A","13:17:12.000","+55:04:12.00","FRB","","108.37","1.62","pc/cc","30.72","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","9541535","","","1","1","2020-03-27","","","2018-07-29 00:48:20.000","CHIME_FRB_bot","",""
"56448","FRB 20180727A","13:10:31.200","+26:03:00.00","FRB","","642.15","1.62","pc/cc","21.33","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","9461009","","","1","1","2020-03-27","","","2018-07-27 00:52:13.000","CHIME_FRB_bot","",""
"56447","FRB 20180725A","06:17:26.400","+66:34:48.00","FRB","","716.55","1.62","pc/cc","71.25","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","9386707","","","1","1","2020-03-27","","","2018-07-25 17:59:43.000","CHIME_FRB_bot","",""
"64974","FRB 20180714A","17:46:12.000","-11:45:47.00","FRB","","1467.92","0.3","pc/cc","257","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180714","","","1","1","","0.6","BPSR-MB20","2018-07-14 10:00:08.700","FRBCAT_bot","",""
"64973","FRB 20180528A","06:38:49.800","-49:53:59.00","FRB","","899.3","0.6","pc/cc","69","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180528","","","1","1","","13.8","Other-","2018-05-28 04:24:00.900","FRBCAT_bot","",""
"64972","FRB 20180525A","14:39:60.000","-02:12:00.00","FRB","","388.1","0.3","pc/cc","31","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180525","","","1","1","","78.9","Clear-","2018-05-25 15:19:06.515","FRBCAT_bot","",""
"64971","FRB 20180515A","23:13:12.000","-42:14:46.00","FRB","","355.2","0.5","pc/cc","0.5","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180515","","","1","1","","24.2","Clear-","2018-05-15 21:57:26.485","FRBCAT_bot","",""
"64970","FRB 20180430A","06:50:60.000","-09:57:00.00","FRB","","264.1","0.5","pc/cc","165.44","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180430","","","1","1","","147.5","Clear-","2018-04-30 09:59:58.700","FRBCAT_bot","",""
"64969","FRB 20180417A","12:24:56.000","+14:13:00.00","FRB","","474.8","","pc/cc","26.15","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180417","","","1","1","","21.8","Clear-","2018-04-17 13:18:31.000","FRBCAT_bot","",""
"64968","FRB 20180324A","06:15:60.000","-34:46:60.00","FRB","","431","0.4","pc/cc","70","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180324","","","1","1","","16.5","Clear-","2018-03-24 09:31:46.706","FRBCAT_bot","",""
"64967","FRB 20180321A","00:33:00.000","+42:01:48.00","FRB","","594","5","pc/cc","70","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180321","","","1","1","","0.54","Clear-","2018-03-21 07:05:54.000","FRBCAT_bot","",""
"64966","FRB 20180315A","19:34:60.000","-26:49:60.00","FRB","","479","0.4","pc/cc","36","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180315","","","1","1","","23.3","Clear-","2018-03-15 05:05:30.985","FRBCAT_bot","",""
"64965","FRB 20180311A","21:31:33.420","-57:44:26.70","FRB","","1570.9","0.5","pc/cc","45.2","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180311","","","1","1","","0.15","BPSR-MB20","2018-03-11 04:11:54.800","FRBCAT_bot","",""
"64964","FRB 20180309A","21:24:43.800","-33:58:44.50","FRB","","263.42","0.01","pc/cc","44.69","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180309","","","1","1","","27.6","BPSR-MB20","2018-03-09 02:49:32.990","FRBCAT_bot","",""
"64963","FRB 20180301A","06:12:43.400","+04:33:44.80","FRB","","522","5","pc/cc","155","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180301","","","1","1","","1.2","BPSR-MB20","2018-03-01 07:34:19.760","FRBCAT_bot","",""
"64962","FRB 20180212A","14:20:60.000","-03:34:60.00","FRB","","167.5","0.5","pc/cc","33","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180212","","","1","1","","53","Clear-","2018-02-12 23:45:04.399","FRBCAT_bot","",""
"64961","FRB 20180131A","21:49:54.000","-40:40:60.00","FRB","","657.7","0.5","pc/cc","40","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180131","","","1","1","","22.2","Clear-","2018-01-31 05:45:04.320","FRBCAT_bot","",""
"64960","FRB 20180130A","21:52:12.000","-38:34:00.00","FRB","","343.5","0.4","pc/cc","39","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180130","","","1","1","","23.1","Clear-","2018-01-30 04:55:29.993","FRBCAT_bot","",""
"64959","FRB 20180128B","22:22:00.000","-60:15:00.00","FRB","","495.9","0.7","pc/cc","40","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180128.2","","","1","1","","28.7","Clear-","2018-01-28 04:53:26.796","FRBCAT_bot","",""
